CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Attrition_Flag
768805383,45.0,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,Existing Customer
818770008,49.0,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,Existing Customer
713982108,51.0,M,3,Graduate,Married,$80K - $120K,,36,4,1,0,3418.0,0,3418.0,Existing Customer
769911858,40.0,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,Existing Customer
709106358,40.0,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,,0,4716.0,Existing Customer
713061558,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,Existing Customer
810347208,51.0,M,4,Unknown,Married,$120K +,,46,6,1,3,34516.0,2264,32252.0,Existing Customer
818906208,32.0,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,Existing Customer
710930508,37.0,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,Existing Customer
719661558,48.0,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,,1677,9979.0,Existing Customer
708790833,42.0,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,,1467,5281.0,Existing Customer
710821833,65.0,M,1,Unknown,Married,$40K - $60K,,54,6,2,3,9095.0,1587,7508.0,Existing Customer
710599683,56.0,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,Existing Customer
816082233,35.0,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,,1666,6881.0,Existing Customer
712396908,57.0,F,2,Graduate,Married,Less than $40K,,48,5,2,2,2436.0,680,1756.0,Existing Customer
714885258,,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,Existing Customer
709967358,48.0,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,Existing Customer
753327333,41.0,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,Existing Customer
