age,sector,education_years,profession,marital,ethinicity,gender,work_hours,origin_country,salary_over_50K
54,Private,4,Machine-op-inspct,Unmarried,White,Female,40,United-States,No
35,,9,,Unmarried,Black,Female,40,United-States,No
17,Local-gov,6,Other-service,Own-child,White,Female,25,United-States,No
36,Self-emp-not-inc,13,Exec-managerial,Husband,White,Male,50,United-States,Yes
47,Self-emp-not-inc,9,Other-service,Wife,White,Female,75,Italy,No
36,Private,9,Prof-specialty,Husband,White,Male,45,Ecuador,Yes
34,Private,9,Craft-repair,Not-in-family,White,Male,55,United-States,No
34,State-gov,13,Tech-support,Own-child,White,Female,25,,Yes
31,Private,7,Handlers-cleaners,Other-relative,Black,Male,40,United-States,No
36,Private,13,Sales,Own-child,White,Female,40,United-States,No
48,Federal-gov,13,Prof-specialty,Husband,White,Male,44,United-States,Yes
38,Private,13,Exec-managerial,Husband,White,Male,50,United-States,Yes
38,Self-emp-not-inc,13,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,30,United-States,No
28,Private,10,Sales,Husband,Black,Male,40,,No
21,Private,10,Adm-clerical,Not-in-family,White,Male,45,United-States,No
70,Self-emp-not-inc,11,Farming-fishing,Husband,White,Male,24,United-States,Yes
30,Private,10,Adm-clerical,Husband,White,Male,40,United-States,Yes
68,Private,16,Prof-specialty,Not-in-family,White,Female,40,Cuba,No
17,,6,,Own-child,White,Male,40,United-States,No
49,Private,9,Exec-managerial,Husband,White,Male,55,United-States,Yes
46,Private,11,Adm-clerical,Not-in-family,White,Female,40,United-States,No
46,State-gov,15,Prof-specialty,Not-in-family,White,Female,55,United-States,Yes
35,Private,15,Prof-specialty,Husband,White,Male,75,United-States,Yes
25,,9,,Unmarried,Black,Female,40,United-States,No
57,Private,9,Other-service,Husband,White,Male,78,United-States,No
51,Private,9,Tech-support,Husband,White,Male,40,United-States,Yes
28,Private,9,Adm-clerical,Husband,Black,Male,40,United-States,No
33,Private,9,Handlers-cleaners,Husband,White,Male,50,United-States,Yes
30,Private,13,Exec-managerial,Husband,White,Male,50,United-States,Yes
19,Private,8,Other-service,Own-child,White,Male,20,United-States,No
55,State-gov,11,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,38,United-States,No
67,Local-gov,10,Adm-clerical,Not-in-family,Black,Female,20,United-States,No
26,Private,9,Handlers-cleaners,Not-in-family,White,Male,40,United-States,No
42,Self-emp-not-inc,9,Sales,Husband,White,Male,45,United-States,No
57,Private,10,Prof-specialty,Husband,White,Male,40,United-States,Yes
62,,14,,Husband,White,Male,2,United-States,Yes
30,Private,9,Handlers-cleaners,Other-relative,White,Male,40,United-States,No
21,Private,10,Other-service,Own-child,White,Male,15,United-States,No
40,Self-emp-not-inc,9,Transport-moving,Not-in-family,White,Male,84,United-States,No
43,Private,10,Transport-moving,Husband,White,Male,50,United-States,No
21,Private,10,Sales,Own-child,Black,Female,20,United-States,No
28,Private,13,Exec-managerial,Not-in-family,White,Female,50,United-States,Yes
37,Private,10,Prof-specialty,Not-in-family,White,Female,30,United-States,No
48,Private,9,Machine-op-inspct,Husband,White,Male,46,United-States,Yes
35,Private,10,Transport-moving,Own-child,White,Male,45,United-States,No
26,Private,9,Adm-clerical,Wife,White,Female,40,United-States,No
